,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,sentence_bow,sentence_bow_lem,sentence_dl
84,569929243146088448,negative,1.0,Can't Tell,1.0,Virgin America,,GunsNDip,,0,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,,2015-02-23 10:38:14 -0800,,Pacific Time (US & Canada),virginamerica disappointing experience shared every business traveler meet neverflyvirgin,virginamerica disappointing experience shared every business traveler meet neverflyvirgin,virginamerica it was a disappointing experience which will be shared with every business traveler i meet . neverflyvirgin
85,569926998824394752,negative,1.0,Flight Booking Problems,1.0,Virgin America,,jsatk,,0,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,"[0.0, 0.0]",2015-02-23 10:29:19 -0800,"Lower Pacific Heights, SF, CA",Pacific Time (US & Canada),virginamerica trouble adding flight wife booked elevate account help t.co px8hqoks3r,virginamerica trouble adding flight wife booked elevate account help t.co px8hqoks3r,virginamerica i ’ m having trouble adding this flight my wife booked to my elevate account . help ? : t.co px8hqoks3r
89,569919041244147712,negative,1.0,Can't Tell,0.6513,Virgin America,,MaryAnnTaylorT,,0,@VirginAmerica Why is the site down?  When will it be back up?,,2015-02-23 09:57:42 -0800,"New York, NY",Arizona,virginamerica why site when back,virginamerica why site when back,virginamerica why is the site down ? when will it be back up ?
92,569911816937033728,negative,1.0,Cancelled Flight,1.0,Virgin America,,AlisonK33774854,,0,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,,2015-02-23 09:29:00 -0800,,,virginamerica like interesting video just disappointed cancelled flightled flight flights went jfk saturday,virginamerica like interesting video just disappointed cancelled flightled flight flight went jfk saturday,virginamerica i like the tv and interesting video . just disappointed in cancelled flightled flight when other flights went out to jfk on saturday .
93,569911674158731264,negative,1.0,Late Flight,1.0,Virgin America,,GunsNDip,,0,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",,2015-02-23 09:28:26 -0800,,Pacific Time (US & Canada),virginamerica landed lax hour your late flight bag check business travel friendly nomorevirgin,virginamerica landed lax hour your late flight bag check business travel friendly nomorevirgin,"virginamerica just landed in lax , an hour after i should of been here . your no late flight bag check is not business travel friendly nomorevirgin"
95,569910981868060673,negative,1.0,Customer Service Issue,0.6863,Virgin America,,MerchEngines,,0,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",,2015-02-23 09:25:41 -0800,"Los Angeles, CA",Arizona,virginamerica website btw new website n't great user experience time another redesign,virginamerica website btw new website n't great user experience time another redesign,"virginamerica is it me , or is your website down ? btw , your new website is n't a great user experience . time for another redesign ."
96,569909224521641984,negative,1.0,Customer Service Issue,0.6771,Virgin America,,ColorCartel,,0,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,,2015-02-23 09:18:42 -0800,"Austin, TX",Mountain Time (US & Canada),virginamerica n't check add bag your website n't working 've tried desktop mobile t.co avyqdmpi1y,virginamerica n't check add bag your website n't working 've tried desktop mobile t.co avyqdmpi1y,virginamerica i ca n't check in or add a bag . your website is n't working . i 've tried both desktop and mobile : t.co avyqdmpi1y
97,569907336485019648,negative,1.0,Can't Tell,0.659,Virgin America,,MustBeSpoken,,0,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,,2015-02-23 09:11:12 -0800,,,virginamerica let scanned passengers leave plane told someone remove bag 1st class bin uncomfortable,virginamerica let scanned passenger leave plane told someone remove bag 1st class bin uncomfortable,virginamerica let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin ? uncomfortable
98,569896805611089920,negative,1.0,Flight Booking Problems,0.6714,Virgin America,,mattbunk,,0,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,,2015-02-23 08:29:21 -0800,"Sterling Heights, MI",Eastern Time (US & Canada),virginamerica what phone number n't find call flight reservation,virginamerica what phone number n't find call flight reservation,virginamerica what is your phone number . i ca n't find who to call about a flight reservation .
99,569894449620369408,negative,1.0,Customer Service Issue,1.0,Virgin America,,louisjenny,,0,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,,2015-02-23 08:19:59 -0800,Washington DC,Quito,virginamerica anyone anything today website useless one answering phone,virginamerica anyone anything today website useless one answering phone,virginamerica is anyone doing anything there today ? website is useless and no one is answering the phone .
101,569892199690678272,negative,1.0,Late Flight,0.6882,Virgin America,,GunsNDip,,0,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,,2015-02-23 08:11:03 -0800,,Pacific Time (US & Canada),virginamerica must traveler miss flight late flight check bag missed morning appointments lost business sfo2lax,virginamerica must traveler miss flight late flight check bag missed morning appointment lost business sfo2lax,virginamerica why must a traveler miss a flight to late flight check a bag ? i missed my morning appointments and you lost my business . sfo2lax
104,569887310713479168,negative,1.0,Late Flight,0.3486,Virgin America,,GunsNDip,,0,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,,2015-02-23 07:51:37 -0800,,Pacific Time (US & Canada),virginamerica late flight bag check lost business missed flight apt three people flight exp,virginamerica late flight bag check lost business missed flight apt three people flight exp,virginamerica your no late flight bag check just lost you my business . i missed flight and am apt . three other people on flight had same exp .
106,569884551712886785,negative,1.0,Customer Service Issue,1.0,Virgin America,,BeLeather,,0,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,"[0.0, 0.0]",2015-02-23 07:40:39 -0800,,Pacific Time (US & Canada),virginamerica called service line hung this awesome sarcasm,virginamerica called service line hung this awesome sarcasm,virginamerica called your service line and was hung up on . this is awesome . sarcasm
107,569884407852437504,negative,1.0,Flight Booking Problems,0.6366,Virgin America,,BeLeather,,0,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,"[0.0, 0.0]",2015-02-23 07:40:05 -0800,,Pacific Time (US & Canada),virginamerica site tripping trying check getting plain text version reluctant enter card info,virginamerica site tripping trying check getting plain text version reluctant enter card info,virginamerica your site is tripping . i 'm trying to check in and i 'm getting the plain text version . i am reluctant to enter any card info .
115,569847920192655361,negative,1.0,Late Flight,1.0,Virgin America,,nicholas_v,,0,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?","[26.074379, -80.1416831]",2015-02-23 05:15:06 -0800,,Eastern Time (US & Canada),virginamerica concerned fly plane needs delayed due tech stop,virginamerica concerned fly plane need delayed due tech stop,virginamerica should i be concerned that i am about to fly on a plane that needs to be delayed due to a `` tech stop '' ?
121,569741221783957504,negative,1.0,Flight Booking Problems,0.6767,Virgin America,,usagibrian,,0,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",,2015-02-22 22:11:07 -0800,San Francisco CA,Pacific Time (US & Canada),virginamerica and flight flight booking problems site totally folks problem,virginamerica and flight flight booking problem site totally folk problem,"virginamerica and now the flight flight booking problems site is totally down . folks , what is the problem ?"
122,569737603617943552,negative,1.0,Customer Service Issue,0.6527,Virgin America,,KindofLuke,,0,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,,2015-02-22 21:56:44 -0800,,,virginamerica like customer service min delay connecting passengers seems long va370,virginamerica like customer service min delay connecting passenger seems long va370,virginamerica i like the customer service but a 40 min delay just for connecting passengers seems too long . va370
130,569642845516275712,negative,1.0,Customer Service Issue,0.6448,Virgin America,,melokudo,,0,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,,2015-02-22 15:40:12 -0800,,Eastern Time (US & Canada),virginamerica failing customers check process link tsa pre check,virginamerica failing customer check process link tsa pre check,virginamerica you are failing your customers because your check in process does not link to tsa pre check .
131,569634318349246464,negative,1.0,Can't Tell,1.0,Virgin America,,ChrysiChrysic,,0,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,,2015-02-22 15:06:19 -0800,,,virginamerica fidifamilies terrible airline just gave hotel hotline number said sorry,virginamerica fidifamilies terrible airline just gave hotel hotline number said sorry,virginamerica fidifamilies us too ! terrible airline ! just gave us a hotel hotline number and said sorry
133,569633279546036224,negative,1.0,Cancelled Flight,0.6875,Virgin America,,ChrysiChrysic,,0,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,,2015-02-22 15:02:11 -0800,,,virginamerica chrysichrysic assistance yesterday cancelled flightled flight give hotel hotline shame,virginamerica chrysichrysic assistance yesterday cancelled flightled flight give hotel hotline shame,virginamerica chrysichrysic your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline shame on you !
134,569630092273410048,negative,1.0,Late Flight,1.0,Virgin America,,MOCBlogger,,0,@VirginAmerica Another delayed flight? #likingyoulessandless,,2015-02-22 14:49:31 -0800,San Diego,Alaska,virginamerica another delayed flight likingyoulessandless,virginamerica another delayed flight likingyoulessandless,virginamerica another delayed flight ? likingyoulessandless
135,569627480425766912,negative,1.0,Customer Service Issue,1.0,Virgin America,,tfaz,,0,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,,2015-02-22 14:39:09 -0800,"Oakland, California",Pacific Time (US & Canada),virginamerica need register service dog first class ticket sfo dulles the phone queue hour longer pls advise,virginamerica need register service dog first class ticket sfo dulles the phone queue hour longer pls advise,virginamerica i need to register a service dog for a first class ticket from sfo & gt ; dulles . the phone queue is an hour or longer . pls advise
139,569619569372823552,negative,1.0,Flight Booking Problems,1.0,Virgin America,,GoShar2012,,0,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,,2015-02-22 14:07:43 -0800,"Providence, RI",Eastern Time (US & Canada),virginamerica n't book seats flights buy even check creates much anxiety frustrated,virginamerica n't book seat flight buy even check creates much anxiety frustrated,virginamerica why ca n't we book seats on your flights when we buy them or even during check in ? creates so much anxiety ! frustrated
145,569609971383586817,negative,1.0,Cancelled Flight,1.0,Virgin America,,mlorenzen,,0,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",,2015-02-22 13:29:34 -0800,"iPhone: 29.741360,-90.131523",Pacific Time (US & Canada),virginamerica paid premium fly across country cancelled flight flight offer check fee upgrade love sad face,virginamerica paid premium fly across country cancelled flight flight offer check fee upgrade love sad face,"virginamerica i paid the premium to fly you across the country , you cancelled flight my flight and offer no check fee or upgrade love ? sad face : ("
149,569596097540132864,negative,1.0,Damaged Luggage,0.6501,Virgin America,,khartline,,0,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,,2015-02-22 12:34:26 -0800,Las Vegas,Pacific Time (US & Canada),virginamerica n't understand need give answer damaged luggage policy,virginamerica n't understand need give answer damaged luggage policy,. virginamerica i do n't understand why you need a dm to give me an answer on if you have a damaged luggage policy .
150,569594386066984960,negative,1.0,Damaged Luggage,1.0,Virgin America,,khartline,,0,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,,2015-02-22 12:27:38 -0800,Las Vegas,Pacific Time (US & Canada),virginamerica mean n't policy destroyed luggage,virginamerica mean n't policy destroyed luggage,. virginamerica does that mean you do n't have a policy for destroyed luggage ?
157,569572942381649920,negative,1.0,Customer Service Issue,0.6983,Virgin America,,paulnakada,,0,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,,2015-02-22 11:02:26 -0800,San Francisco,Pacific Time (US & Canada),virginamerica problems flight booking problems web site keeps giving error contact phone phone minute wait,virginamerica problem flight booking problem web site keep giving error contact phone phone minute wait,virginamerica having problems flight booking problems on the web site . keeps giving me an error and to contact by phone . phone is 30 minute wait .
159,569566981835218944,negative,1.0,Flight Booking Problems,0.6556,Virgin America,,intlwriter,,0,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",,2015-02-22 10:38:45 -0800,@ the moment in New Delhi,Pacific Time (US & Canada),virginamerica rang wait minutes book ticket vendor fix site,virginamerica rang wait minute book ticket vendor fix site,"virginamerica i rang , but there is a wait for 35 minutes ! ! i can book the same ticket through a vendor , fix your site"
160,569564853460807680,negative,1.0,Late Flight,0.3571,Virgin America,,finslippy,,0,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",,2015-02-22 10:30:17 -0800,Brooklyn,Eastern Time (US & Canada),virginamerica got flight told 4:50 today checked email tomorrow this unacceptable,virginamerica got flight told 4:50 today checked email tomorrow this unacceptable,"virginamerica got a flight ( we were told ) for 4:50 today .. , checked my email and its for 4 ; 50 tomorrow . this is unacceptable ."
161,569564610837086209,negative,1.0,Cancelled Flight,1.0,Virgin America,,finslippy,,0,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",,2015-02-22 10:29:19 -0800,Brooklyn,Eastern Time (US & Canada),virginamerica flight lga cancelled flighted 're stuck dallas called reschedule told could get flight today ...,virginamerica flight lga cancelled flighted 're stuck dallas called reschedule told could get flight today ...,"virginamerica our flight into lga was cancelled flighted . we 're stuck in dallas . i called to reschedule , told i could get a flight for today ... ( 1 2 )"
162,569562202405019650,negative,1.0,Bad Flight,1.0,Virgin America,,Gr8Fratsby,,0,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,,2015-02-22 10:19:45 -0800,"Washington, DC",Eastern Time (US & Canada),virginamerica n't pairings include red wine only white offered redwineisbetter,virginamerica n't pairing include red wine only white offered redwineisbetter,virginamerica why do n't any of the pairings include red wine ? ! only white is offered : ( redwineisbetter
165,569494748341407744,negative,1.0,Customer Service Issue,0.7002,Virgin America,,Gr8Fratsby,,0,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,,2015-02-22 05:51:43 -0800,"Washington, DC",Eastern Time (US & Canada),virginamerica disappointed agent designated silver status check line dulles_airport closed assist pasengers,virginamerica disappointed agent designated silver status check line dulles_airport closed assist pasengers,virginamerica i 'm disappointed that the agent at the designated silver status check in line dulles_airport closed to assist all pasengers
167,569477692166316033,negative,1.0,Customer Service Issue,1.0,Virgin America,,CSHangover,,0,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,,2015-02-22 04:43:56 -0800,Tokyo,Irkutsk,virginamerica normal receive reply central baggage baggageissues smh,virginamerica normal receive reply central baggage baggageissues smh,virginamerica is it normal to receive no reply from central baggage baggageissues smh
168,569461469042966528,negative,1.0,longlines,0.6818,Virgin America,,girlphotophilly,,0,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,,2015-02-22 03:39:28 -0800,"Philadelphia, Pa",Eastern Time (US & Canada),virginamerica logan airport waiting checkin 9am flight checkin desk open why,virginamerica logan airport waiting checkin 9am flight checkin desk open why,virginamerica at logan airport and waiting to checkin for my 9am flight . checkin desk not open ! ! ! ! ! why ? !
173,569369239183872000,negative,1.0,Can't Tell,0.6629999999999999,Virgin America,,Boards707,,0,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",,2015-02-21 21:32:59 -0800,"Belmar, NJ",Eastern Time (US & Canada),virginamerica congrats got business ewr sfo lax fuck united fl1289 sfo ewr clincher ...,virginamerica congrats got business ewr sfo lax fuck united fl1289 sfo ewr clincher ...,"virginamerica congrats , you just got all my business from ewr to sfo lax . fuck you united fl1289 sfo ewr was the clincher ..."
174,569368160291463168,negative,1.0,Customer Service Issue,0.6777,Virgin America,,MikeWiener,,0,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed,,2015-02-21 21:28:42 -0800,,Eastern Time (US & Canada),virginamerica applied weeks ago have n't heard back flying week disappointed,virginamerica applied week ago have n't heard back flying week disappointed,virginamerica i applied over 2 weeks ago . have n't heard back and i 'm flying this week disappointed
177,569351220097216512,negative,1.0,Customer Service Issue,1.0,Virgin America,,ChrysiChrysic,,0,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,,2015-02-21 20:21:23 -0800,,,virginamerica many apologies you worse airlines n't even respond cudtomers,virginamerica many apology you worse airline n't even respond cudtomers,virginamerica too many apologies ! you r the worse airlines ! do n't even respond to your cudtomers
178,569348775631675392,negative,1.0,Cancelled Flight,0.3709,Virgin America,,ChrysiChrysic,,0,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,,2015-02-21 20:11:40 -0800,,,virginamerica shame making people spend money stranded cities airlines landing jfk who reimburse,virginamerica shame making people spend money stranded city airline landing jfk who reimburse,virginamerica shame on va for making people spend money in stranded cities when other airlines are landing at jfk ! who will reimburse me ?
181,569323082701275138,negative,1.0,Customer Service Issue,0.7148,Virgin America,,joyabsalon,,0,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,,2015-02-21 18:29:35 -0800,Northern Virginia,Eastern Time (US & Canada),virginamerica bad say takes days via your confirmation email when inquired weeks claim weeks,virginamerica bad say take day via your confirmation email when inquired week claim week,virginamerica too bad you say it takes 10 to 14 days via your confirmation email . when i inquired after 3 weeks you claim 6 to 8 weeks !
186,569311060903268352,negative,1.0,Can't Tell,0.648,Virgin America,,MarwaYousofzoy,,0,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.",,2015-02-21 17:41:48 -0800,,,virginamerica lot apologies thrown customers see.very sad thanks nothing worst airline ever,virginamerica lot apology thrown customer see.very sad thanks nothing worst airline ever,virginamerica a lot of `` apologies '' being thrown out to customers from what i can see.very sad . thanks for nothing . worst airline ever .
187,569310635986546688,negative,1.0,Flight Attendant Complaints,0.6729,Virgin America,,TTINAC11,,0,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,,2015-02-21 17:40:07 -0800,"Las Vegas, NV",Mountain Time (US & Canada),virginamerica flight stuff wrong nothing had worst flight ever,virginamerica flight stuff wrong nothing had worst flight ever,virginamerica for all my flight stuff wrong and did nothing about it . had worst flight ever
